customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-67055419,Female,0,No,Yes,21,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),76.01,1596.21,No
CUST-59160571,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,112.23,3254.67,No
CUST-78394024,Female,0,No,No,33,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.17,2777.61,No
CUST-74525468,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.47,7035.14,Yes
CUST-99966606,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),91.48,1372.2,Yes
CUST-48727468,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,100.4,200.8,No
CUST-61757120,Female,1,Yes,No,52,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),91.47,4756.44,Yes
CUST-77157848,Male,0,No,No,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,104.73,4608.12,No
CUST-87897542,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.78,6090.12,Yes
CUST-83665032,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.98,1655.64,Yes
CUST-95390464,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,99.4,298.2,Yes
CUST-58170987,Male,0,No,No,7,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),104.42,730.94,Yes
CUST-62562567,Female,0,No,Yes,43,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),84.74,3643.82,No
CUST-33717335,Male,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.84,1551.92,Yes
CUST-70472382,Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),90.48,3347.76,No
CUST-22719242,Male,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,111.29,6454.82,No
CUST-58715250,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,119.52,3944.16,Yes
CUST-93139152,Male,0,Yes,No,59,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,69.41,4095.19,Yes
CUST-54054178,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),35.54,390.94,No
CUST-48334882,Female,0,No,No,68,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,85.07,5784.76,Yes
CUST-62441466,Female,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.2,2257.6,No
CUST-59583876,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,121.56,2674.32,No
CUST-96117865,Female,1,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.09,7529.94,Yes
CUST-73203558,Male,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,92.17,4055.48,No
CUST-47407771,Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,119.48,716.88,Yes
CUST-93122310,Male,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),96.23,4041.66,Yes
CUST-37009224,Female,0,Yes,No,25,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.59,2089.75,No
CUST-61327755,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),127.39,7261.23,Yes
CUST-89018913,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),119.45,6569.75,No
CUST-17130144,Female,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.51,584.16,No
CUST-14545583,Female,0,No,No,14,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.83,1229.62,Yes
CUST-64079037,Female,0,Yes,No,39,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),84.17,3282.63,Yes
CUST-64474455,Female,0,Yes,No,28,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),100.02,2800.56,Yes
CUST-51542436,Male,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,101.64,5183.64,Yes
CUST-56626914,Male,0,Yes,No,49,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,103.19,5056.31,No
CUST-63933927,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.01,711.09,No
CUST-62453338,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.97,1100.26,No
CUST-24881728,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,95.55,4299.75,Yes
CUST-44045666,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.69,2523.18,Yes
CUST-22722094,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,64.73,2071.36,No
CUST-32178434,Female,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,108.07,7456.83,Yes
CUST-56321408,Male,0,No,No,69,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),72.59,5008.71,No
CUST-22796932,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),114.87,4824.54,No
CUST-84023414,Male,0,Yes,No,53,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.52,4267.56,Yes
CUST-36063245,Male,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),43.72,2579.48,No
CUST-49443226,Male,0,No,Yes,39,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,96.97,3781.83,Yes
CUST-83619289,Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),113.0,1695.0,No
CUST-17887739,Female,1,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,117.72,8358.12,Yes
CUST-70736972,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,95.45,2768.05,Yes
CUST-71071026,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),66.88,200.64,Yes
CUST-10769598,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,137.29,1372.9,No
CUST-99178975,Female,0,Yes,No,29,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,88.62,2569.98,No
CUST-59007334,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.04,946.4,No
CUST-38433648,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.11,216.66,No
CUST-17971379,Male,1,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.09,769.08,Yes
CUST-13331068,Female,0,Yes,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.14,955.32,No
CUST-46810847,Male,0,No,No,19,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),67.7,1286.3,Yes
CUST-44428803,Female,0,Yes,No,67,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),82.53,5529.51,No
CUST-15654237,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.8,278.4,Yes
CUST-71553124,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),90.26,722.08,No
CUST-55816038,Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.82,4550.54,Yes
CUST-27750764,Male,0,No,No,4,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.03,356.12,Yes
CUST-46898446,Female,1,Yes,No,51,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,105.03,5356.53,Yes
CUST-33841962,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.93,2005.31,Yes
CUST-76834972,Female,0,Yes,No,45,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),78.24,3520.8,No
CUST-53156515,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.45,731.6,Yes
CUST-32993420,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),99.02,1584.32,Yes
CUST-72190751,Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,123.94,8303.98,No
CUST-31970758,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,94.02,846.18,Yes
CUST-46513466,Male,0,No,No,60,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.57,5674.2,Yes
CUST-41288562,Female,0,No,Yes,71,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,99.88,7091.48,Yes
CUST-31351509,Male,0,No,No,15,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.82,1152.3,Yes
CUST-33484187,Male,1,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.65,1750.15,No
CUST-71777469,Female,0,Yes,No,41,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,93.16,3819.56,Yes
CUST-46093880,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),99.6,2191.2,No
CUST-60441204,Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,112.43,2698.32,Yes
CUST-91752859,Male,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.41,1514.04,Yes
CUST-54066131,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.83,33.83,No
CUST-85415325,Female,0,No,No,10,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,93.42,934.2,Yes
CUST-45563453,Male,0,Yes,Yes,72,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,74.85,5389.2,Yes
CUST-44755914,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,96.97,5430.32,Yes
CUST-60873983,Male,0,Yes,No,50,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,89.83,4491.5,Yes
CUST-63892568,Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,112.44,1349.28,Yes
CUST-33637222,Male,0,Yes,Yes,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,131.29,7877.4,No
CUST-12484413,Male,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.02,884.52,Yes
CUST-80016224,Male,0,Yes,No,41,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,93.1,3817.1,No
CUST-49449976,Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.61,1173.96,Yes
CUST-99583549,Female,0,Yes,Yes,23,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,66.72,1534.56,No
CUST-12235000,Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,109.79,4720.97,No
CUST-33685747,Female,0,No,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),97.0,582.0,Yes
CUST-47876684,Male,0,Yes,No,69,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,96.22,6639.18,Yes
